Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment
ESM6.CME@TM.Lite,6661,Day/H,#000000,#3faf6c,center
ESM6.CME@TM.Lite,6617.75,Day/L,#000000,#d65a5a,center
ESM6.CME@TM.Lite,6652,VAH,#000000,#7bcf9b,center
ESM6.CME@TM.Lite,6631,VAL,#000000,#e8a3a3,center
ESM6.CME@TM.Lite,6637.25,NVPOC,#000000,#c9a227,center
ESM6.CME@TM.Lite,6596.75,VWAP,#000000,#a9d4ff,center
ESM6.CME@TM.Lite,6639.50,Mid,#000000,#4a90e2,center
ESM6.CME@TM.Lite,6667,ON/H,#000000,#3faf6c,center
ESM6.CME@TM.Lite,6602,ON/L,#000000,#d65a5a,center
ESM6.CME@TM.Lite,6645.50,ON/VAH,#000000,#7bcf9b,center
ESM6.CME@TM.Lite,6611,ON/VAL,#000000,#e8a3a3,center
ESM6.CME@TM.Lite,6620,ON/POC,#000000,#c9a227,center
ESM6.CME@TM.Lite,6634,ON/VWAP,#000000,#a9d4ff,center
ESM6.CME@TM.Lite,6628,ON/Mid,#000000,#4a90e2,center
